#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1,LeBron James,259,10770,7463,2658,5368,49.5,413,1230,33.6,1734,2337,74.2,391,1943,2334,1861,444,250,949,53.4,58.3
2,Michael Jordan,179,7474,5987,2188,4497,48.7,148,446,33.2,1463,1766,82.8,305,847,1152,1022,376,158,546,50.3,56.8
3,Kareem Abdul-Jabbar,237,8851,5762,2356,4422,53.3,0,4,0,1050,1419,74,505,1273,2481,767,189,476,447,53.3,57.1
4,Kobe Bryant,220,8641,5640,2014,4499,44.8,292,882,33.1,1320,1617,81.6,230,889,1119,1040,310,144,647,48,54.1
5,Shaquille O'Neal,216,8098,5250,2041,3627,56.3,0,0,0,1168,2317,50.4,866,1642,2508,582,117,459,649,56.3,56.5
6,Tim Duncan,251,9370,5172,1975,3939,50.1,5,35,14.3,1217,1766,68.9,778,2081,2859,764,168,568,633,50.2,54.8
7,Karl Malone,193,7907,4761,1743,3768,46.3,6,37,16.2,1269,1725,73.6,502,1560,2062,610,258,135,550,46.3,52.6
8,Jerry West,153,6321,4457,1622,3460,46.9,-,-,-,1213,1506,80.5,0,2,855,970,0,0,-,46.9,54.1
9,Tony Parker,226,7758,4045,1613,3501,46.1,119,385,30.9,700,958,73.1,108,558,666,1143,198,19,594,47.8,51.6
10,Kevin Durant,139,5598,4043,1363,2872,47.5,304,863,35.2,1013,1172,86.4,114,957,1071,557,139,163,438,52.8,59.7
11,Dwyane Wade,177,6697,3954,1450,3062,47.4,103,305,33.8,951,1220,78,234,694,928,870,273,175,583,49,54.9
12,Larry Bird,164,6886,3897,1458,3090,47.2,80,249,32.1,901,1012,89,360,1323,1683,1062,296,145,506,48.5,55.1
13,John Havlicek,172,6860,3776,1451,3329,43.6,-,-,-,874,1046,83.6,79,199,1186,825,60,16,-,43.6,49.8
14,Hakeem Olajuwon,145,5749,3755,1504,2847,52.8,4,18,22.2,743,1034,71.9,471,1150,1621,458,245,472,424,52.9,56.9
15,Magic Johnson,190,7538,3701,1291,2552,50.6,51,212,24.1,1068,1274,83.8,349,1116,1465,2346,358,64,696,51.6,59.5
16,Dirk Nowitzki,145,5895,3663,1220,2642,46.2,149,408,36.5,1074,1204,89.2,212,1234,1446,360,149,129,328,49,57.7
17,Scottie Pippen,208,8105,3642,1335,3009,44.4,200,660,30.3,772,1067,72.4,466,1117,1583,1048,395,185,602,47.7,52.4
18,Elgin Baylor,134,5510,3623,1388,3161,43.9,-,-,-,847,1098,77.1,-,-,1724,541,-,-,-,43.9,49.7
19,Wilt Chamberlain,160,7559,3607,1425,2728,52.2,-,-,-,757,1627,46.5,-,-,3913,673,-,-,-,52.2,52.4
20,Kevin McHale,169,5716,3182,1204,2145,56.1,8,21,38.1,766,972,78.8,456,797,1253,274,65,281,326,56.3,61.8
21,Paul Pierce,170,6229,3180,1022,2415,42.3,276,777,35.5,860,1036,83,125,860,985,579,204,105,476,48,55.4
22,Dennis Johnson,180,6994,3116,1167,2661,43.9,26,110,23.6,756,943,80.2,262,519,781,1006,247,113,480,44.3,50.7
23,Julius Erving,141,5288,3088,1187,2441,48.6,7,36,19.4,707,908,77.9,360,634,994,594,235,239,396,48.8,54.4
24,Manu Ginobili,218,6075,3054,956,2209,43.3,324,905,35.8,818,1001,81.7,155,719,874,827,292,61,481,50.6,57.6
25,James Worthy,143,5297,3022,1267,2329,54.4,14,67,20.9,474,652,72.7,257,490,747,463,177,96,298,54.7,57.8
26,James Harden,128,4522,3009,902,2121,42.5,317,960,33,888,1026,86.5,95,595,690,742,223,67,444,50,58.5
27,Reggie Miller,144,5308,2972,941,2095,44.9,320,820,39,770,862,89.3,77,339,416,357,146,34,257,52.6,60.1
28,Stephen Curry,112,4235,2968,979,2175,45,470,1171,40.1,540,596,90.6,91,513,604,704,181,30,390,55.8,60.9
29,Clyde Drexler,145,5572,2963,1076,2408,44.7,141,489,28.8,670,851,78.7,359,643,1002,891,278,108,397,47.6,53.2
